"ID","level","contour_value","depth_label","corridor_id","buffer_distance","nominal_corridor_width","overlap_policy","area_m2","slope_deg"
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,51.1332011320893
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,50.6518396578148
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,46.5589951234053
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,50.1951895836722
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,64.2820765613871
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,73.371687879545
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,76.4878980613478
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,76.1295729336153
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,72.7799737248776
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,77.4435596456865
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,78.4151799483185
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,78.2536249084328
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,NA
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,35.6371835882505
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,36.0882462245896
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,35.7710140513347
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,34.4659686762443
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,30.9813711102347
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,26.2629389038814
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,20.1895942859291
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,16.632771510232
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,17.3658318385945
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,18.7098617865519
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,21.29228480498
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,23.6528474144192
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,29.7004994204344
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,37.3868672659676
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,44.2334981993931
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,46.1861166050789
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,46.6201103597602
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,51.9975744825317
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,56.6321718725727
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,58.7707049772581
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,55.841223777643
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,45.2108780910393
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,39.0174108146844
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,51.2686299211316
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,58.7332792367761
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,67.2094588064882
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,76.433728409704
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,79.5087278241538
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,76.6250195233756
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,72.0067809586534
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,79.117673154503
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,79.864725530973
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,80.6466763291524
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,78.7377039180537
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,77.8123462915623
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,76.3171557472607
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,79.4261920740033
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,NA
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,30.0726059930721
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,30.507798205297
