"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","depth_m"
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",121.71630288351,710936.014435538,1977976.78787879,-456.224135367961,456.224135367961
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",133.887933171861,710934.907728445,1977964.66666667,-458.028340657518,458.028340657518
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",146.059563460213,710933.801021353,1977952.54545455,-462.119995117188,462.119995117188
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",158.231193748564,710932.69431426,1977940.42424242,-467.670013427734,467.670013427734
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",170.402824036915,710931.587607167,1977928.3030303,-471.244835478247,471.244835478247
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",182.574454325266,710930.480900075,1977916.18181818,-473.641808249699,473.641808249699
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",194.746084613617,710929.374192982,1977904.06060606,-476.220001220703,476.220001220703
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",206.917714901968,710928.26748589,1977891.93939394,-481.350006103516,481.350006103516
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",219.089345190319,710927.160778797,1977879.81818182,-482.544293114257,482.544293114257
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",231.26097547867,710926.054071704,1977867.6969697,-486.815793709666,486.815793709666
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",243.432605767021,710924.947364612,1977855.57575758,-489.663187110114,489.663187110114
