"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","slope_deg"
"1","author-created deterministic analytical window",-443.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_4",1014.72959877621,711281.23775175,1977908.52631579,-471.359107017076,7.25520542574928
"1","author-created deterministic analytical window",-443.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_4",1078.15019869973,711287.00427818,1977971.68421053,-450.5,2.87667259970142
"1","author-created deterministic analytical window",-443.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_4",1141.57079862324,711292.77080461,1978034.84210526,-434.229373254269,10.2824548474369
"1","author-created deterministic analytical window",-443.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_4",1204.99139854675,711298.53733104,1978098,-414.630004882812,11.7098040077507
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",0,711088.557378991,1976898,-707.489990234375,1.00542707181943
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",63.4205999235133,711094.323905421,1976961.15789474,-698.390014648438,14.1292176217558
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",126.841199847027,711100.090431851,1977024.31578947,-684.519427915347,37.0458402598964
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",190.26179977054,711105.856958281,1977087.47368421,-671.548447458349,20.001875697019
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",253.682399694053,711111.623484711,1977150.63157895,-660.295535438917,17.2858525220262
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",317.102999617567,711117.390011141,1977213.78947368,-649.200868776521,30.3984736389468
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",380.52359954108,711123.156537571,1977276.94736842,-633.685766922792,15.1701092512236
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",443.944199464593,711128.923064001,1977340.10526316,-623.964894579879,19.5037418771583
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",507.364799388106,711134.689590431,1977403.26315789,-611.988033754774,14.4178046620879
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",570.78539931162,711140.456116861,1977466.42105263,-601.071565326816,22.3558667856307
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",634.205999235133,711146.222643291,1977529.57894737,-588.894463549035,21.7459256790394
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",697.626599158646,711151.989169721,1977592.73684211,-572.80207073045,16.7234164364155
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",761.04719908216,711157.755696151,1977655.89473684,-560.47998046875,17.04015812383
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",824.467799005673,711163.522222581,1977719.05263158,-545.29971241171,19.2408460856457
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",887.888398929186,711169.288749011,1977782.21052632,-526.747798683027,14.505883364934
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",951.3089988527,711175.055275441,1977845.36842105,-509.059997558594,7.32468000711574
